tweet,brand,sentiment,brand_presence
Amazon mp3 downloads down to 29p So much for my 10%  Cheers @jodiedoubleday http://tinyurl.com/dg5qtg,amazon,0,1
@LadyLDN I hope you feel better soon  Being ill is no fun at all.,nobrand,0,0
"doing the usual with breakie in starbucks before heading out for the morning with cameras, but weather looking shite at this stage ",starbucks,0,1
@George_Mackie i dont sell very often on ebay. ,nobrand,0,0
I'm not worried about them cutting my hours down so i start at 10.00am every day...... Except i may have to give up my morning Starbucks ,starbucks,0,1
@mrjoe sorry to hear about the bike ,nobrand,0,0
I HATE WINDOWS MOVIE MAKER....  SONY VEGAS COME BACK!! I cant download it anymore. My brother banned me from downloading.. ? (,sony,0,1
i cant stop laughing @ this burger king commerical.....im so easily amused  ,nobrand,0,0
@davidkudrev It's just a pity that Facebook Chat has exceeded even MSN's amazingly level of unreliability! ,facebook,0,1
Pity I'll have to remove it because it's irrelevant. ,nobrand,0,0
@etnobofin even google translator does not get it ,google,0,1
"might have to go to hospital for my foot for an x-ray, have to wait for the doctor to call me back to confirm, I HATE HOSPITALS!!! ",nobrand,0,0
"@mercygrl oh wow, a little chubster.  You cant invite ppl to play uno on facebook at the moment ",facebook,0,1
"I want FFXII really bad, I never got a chance to play it. ",nobrand,0,0
Still stuck with the Microsoft specialist... Won't this day ever end! ,microsoft,0,1
Off to bed ... damn end of daylight savings - means my son will be awake at 5.30am ,nobrand,0,0
my interwebs is so fraked up that I can google maps something on my iPhone (3bar GPRS ..no 3G!) faster than my 10Mbps cable connection! ,google,0,1
"isn't feeling well, still don't get why people say they're pregnancy is the most beautifull time of they're life ",nobrand,0,0
"@jonpaulkaiser I'm probably worse than you lol so sorry, these photos are seriously long overdue  last time I buy a Sony cam: rubbish!",sony,0,1
@Deemaah but I thought I did  Not my fault that you dont pay attention to my genitals!,nobrand,0,0
coffee @33 is turning into Starbucks (feral children-wise) ,starbucks,0,1
"@achmadsirman yeah i am, infact the spray paint is for the mutt, i got real delayed with some problems so not finished either yet ",nobrand,0,0
Another shoe throwing incident! journalist jarnail singh threw a shoe at Home minister chidambaram!! bt missed target ,target,0,1
Broke my tooth yesterday  it feels like it's spilt in half.,nobrand,0,0
dontcha just love microsoft corrupted open XML documents. ,microsoft,0,1
i have fucking shin splints!!!! im in pain.....DRUGS PLEASE......i never realised they could be so painful ,nobrand,0,0
"having a coffee and going through my twitter, facebook and other social networks ..... it seems to become a full time job to keep up ",facebook,0,1
gets to speak to my boyfriend til about 3! so happy! but then cant speak to him til may! that may hurt a little!! ,nobrand,0,0
"Wow.(non work related) I've been doing the SEO for a site I designed and it's now ranking 1-5 on MSN, Google and ASK - Sadly, not Yahoo ",google,0,1
"So many questions for the next Battlestations Podcast. We'll do our best, but we can't possibly answer them all. ",nobrand,0,0
i hate the new facebook look either! so messy and everything is all over the place! i want the old one back! ,facebook,0,1
"@nickynocky Yeah its rubbish, think my bill just gone up as well, and you have to filter the crap water ",nobrand,0,0
Another set of iPod earbuds dying - left going quiet  Apple charge GBP20 for replacements. Better options at around that price point?,apple,0,1
im having a miley nite!!!!!! no sleeping boo ,nobrand,0,0
@vickybeeching saw someone at the apple store told that their warranty was voided cuz they unlocked their phone. ,apple,0,1
"up, and throat still hurts ",nobrand,0,0
@johnnybeane me too... I'll see on Amazon uk.. otherwise they make me pay custom tax if I order it from the US ,amazon,0,1
NZ the place to be! Miss my own bed a bit though ,nobrand,0,0
@LPetersson pls pls PHOTOS!  Iï¿½m not gonna sign up to Facebook just to see photos.  Put them on Flickr or something! ,facebook,0,1
Good morning at work  don't wanna be there fuckit another day another dollar!!!,nobrand,0,0
@clarissa1017 why are you deleting your facebook account? ,facebook,0,1
"Have so much to do today: hand in coursework, pack and tidy (and this is the wost work) and then my shift at work from seven. Shattering ",nobrand,0,0
I just got denied ~sexual contact for a Disney movie with The Rock in it.  I am none too pleased with this.,disney,0,1
got my dog at the vet for heart surgery.  ,nobrand,0,0
"I woke up to find snow, had to scrape my car and its 30 degrees!!! I miss FL and my Disney family so bad ",disney,0,1
and here  http://twitpic.com/2yaxf,nobrand,0,0
@macknick Yes I do tweet back a lot but wonder why you don't respond. Did you delete your facebook account too? ,facebook,0,1
@chantelYO chantelllll. im gonna cry now. ,nobrand,0,0
shaking up some apple juice and watching the snow fall.  the ...snow ,apple,0,1
is watching the extras disk of &quot;Star Wreck&quot; - all the items but none of the menus ,nobrand,0,0
All Apple stores closed today  maybe inventory day??,apple,0,1
"[and as far as I'm concerned, I can't help but feel I'm going about everything wrong.  ]",nobrand,0,0
everything in facebook is down ,facebook,0,1
"Isabeau Ella-Marie Carpenter wntd mommy 2 call in sick, i miss her  http://apps.facebook.com/dogbook/profile/view/6215591",nobrand,0,0
"@attilacsordas  Im afraid not. I have a sony viao, thats officially  not mine, and a windows desktop ",sony,0,1
doesn't wanna do uni work today but has to ,nobrand,0,0
bummed that I forgot to go to Wal-Mart this morning at 5am on my way to work to get the new RF CD! UG! Guess I'll go on my way home ,walmart,0,1
House completly surprised me last night. I can't believe I cried watching an episode of House. So sad. ,nobrand,0,0
@jennielees - Your blogs RSS feed for Posts seems to be broken in Google Chrome ,google,0,1
trying to wake up while checking my email before going to work while the rest of the world (and my husband) is still in bed!! ,nobrand,0,0
I though groups of Google Apps were something like Google groups (groups.google.com) ,google,0,1
would have liked to have gotten more sleep last night! ,nobrand,0,0
"I love House, but certainly did not appreciate the MASSIVE spoiler that was posted on my facebook news feed by the show! ",facebook,0,1
"Long day of moving and painting with the fam, they even &quot;treated&quot; me to a huge McDonnalds dinner   people need to learn about health food",nobrand,0,0
@hollyrn76 I brought everything with me but left my ann pass at home.  Are we going to disney after ikea?,disney,0,1
is as work! ,nobrand,0,0
"facebook is being a 'tard -.-'' I can't get a hold of my cousin and don't want to go out alone, 'cause that's no fun ",facebook,0,1
My new phone isnt as spanky as i thought it was going to be  hmmph,nobrand,0,0
@tommcfly aw i want a starbucks ,starbucks,0,1
What happened to April? This looks more like December ,nobrand,0,0
Why won't my NYT US news RSS work in Google reader? ,google,0,1
@lil_dude_94 OH MY GOD ITS WELL SAD  sean's a beeeyyaaatch! xx,nobrand,0,0
@mandawahoo bummin that my local Starbucks has no more Doubleshots (cans). ,starbucks,0,1
"@dani_seaton sorry to burst the sunny bubble, but pouring in Westboro, probs moving its way to you ",nobrand,0,0
"Taking my Starbucks break, UGH so sleepy ",starbucks,0,1
emotionally not feeling good ,nobrand,0,0
"Sony Ericsson W715,  something seriously wrong with them. They decide when they want to send texts, most of the time they dont want to ",sony,0,1
@newslava welcome to the club ,nobrand,0,0
"intranet search results: looks like google , at first glance the relevance seems as bad as in almost every intranet ",google,0,1
@mannyenc i missed my first class too. well... i'm going to. LOL i have too much stuff to do.  i'm really scard about my grades for this,nobrand,0,0
Last day @ Disney ,disney,0,1
Swamped at work....  not a good day      But trying to keep positive... The weekend is not THAT far.,nobrand,0,0
@krm_bia oh Jesus I need some starbucks in my life right now. I was gonna be late to work if i picked it up ,starbucks,0,1
"wants an SA account, no credit card ",nobrand,0,0
" My head is hurting, my throat is sore, I can't hear the Day26 leak, the Day26 album on Amazon is fuc*ing expensive, I have homework :'(",amazon,0,1
Busy day today... ,nobrand,0,0
@CalEvans actually recently apple has been pretty shitty about needing to reboot after many updates ,apple,0,1
Twitter is not working very well for me... and Marc Faber over dinner is exahusting fare... ,nobrand,0,0
@eldiablito_72 It's not available here   I may have to look for a Google image....,google,0,1
Gah! The wait is killing me! ,nobrand,0,0
Doing facebook quizzes... man some of them are so stupid... i don't know y i'm even takin them ,facebook,0,1
Working...again ,nobrand,0,0
"i'm playing neopets, watching top model re-runs, and tweeting at @Mattynewport [ facebook is down for me  ]. ahhhh spring break &lt;3",facebook,0,1
really wants tijuana flats and no one will go with me ,nobrand,0,0
": Gosh, I'm fucking emo. I wrote on status on facebook 4 her, mum turned off Tom &amp; Jerry (which me and Ruby was enjoying) For The Hills. ",facebook,0,1
"Sick as an MF'in dog, hate my immune system ",nobrand,0,0
@Grayda mine just shows the Apple Logo when the computer boots the install disc. Its been like that for almost 2 hours now ,apple,0,1
@BenAtSite5 i haven't created a support ticket because its back up now..but it's zee.me my domain. It's up and down every couple of days ,nobrand,0,0
I think my upcoming trip might be my last trip to disney this year..the hubby wants to cancel our august magic kingdom view to save money ,disney,0,1
"@LadyLeamy But where you live consists of a project from hell.. scary.. Probably both days.. dunno, I have to plan by hours not days ",nobrand,0,0
facebook isnt working on my phone ,facebook,0,1
"@studio_gal Oh! And my friend, Carole Shelley, is IN &quot;Billy Elliot&quot;. She = sweet in RL. The play kept her from coming to the wedding. ",nobrand,0,0
@yazeez http://twitpic.com/2yiur - tell apple to make a pink one ,apple,0,1
not loving the new eminem ,nobrand,0,0
drinking pepsi as a substitute for the starbucks i couldn't pick up this morning before work... how wack is that?  im sad.,starbucks,0,1
gonna buy some books. tmrw is my bday and its snowing today. ,nobrand,0,0
forgot to sign out from my google account and my friend had his share of wickedness :O ,google,0,1
@OffTheHook77 You guys are gonna make me cry ,nobrand,0,0
@thomas_mathews  It doesn't matter. NO ONE DID IT.  Starbucks Grande Vanilla Latte was my BFF today.,starbucks,0,1
@derekma actually - i sold it years ago  maybe THAT&quot;s WHY!,nobrand,0,0
"Ads on twitter - y ruin a good thing   Google chief sings Twitter's praises, open to ad deal http://sbne.ws/r/1Lr",google,0,1
"im lonely  keep me company! 22 female, Amarillo - Texas",nobrand,0,0
"@Kyabean Facebook is so mean.  It kept giving me sister fits when she tried to sign up. Hm, maybe I can DM you the URL?",facebook,0,1
sigh... CSK.. you're screwed ,nobrand,0,0
"Google thinks the Cafe is a spam blog.  They're recognised by &quot;irrelevant, repetitive, or nonsensical text&quot;.  That's told me ",google,0,1
"im lonely  keep me company! 22 female, Houston - Texas",nobrand,0,0
@jandrick In the UK you need an appointment to go to the apple store! ,apple,0,1
Moving day ,nobrand,0,0
"feeling better today, thank you Lord! Going to try and tackle Wal-Mart and the grocery store today. ",walmart,0,1
"So many new followers from #followfriday! Welcome everyone! usually I send a message to each, but was on deadline yesterday. ",nobrand,0,0
"I hate the Fung Wah bus.. worse, my ipod music library mysertiously deleted   Apple Sucks and Fung Wah sucks. Boston till tomorrow... #fb",apple,0,1
@BlueTeddy me too  so bummed I am not down there with all of you.  Hug everyone for me? And give Dan a big wet smooch from me!,nobrand,0,0
@andreatunes yeah but i can't drive to Apple right now soo Best Buy's my only hope. I think i've only seen the black and white there ,apple,0,1
Good morning! just helping otu to clean the house... ,nobrand,0,0
"@AndySambergSNL http://twitpic.com/3fp2c - no, i found tht pic on google images ",google,0,1
Waiting in the cold for a manager to come ,nobrand,0,0
"@flalalala HAHAHA according to him when he was in Ellen recently, he doesn't have a facebook or a twitter  Yes let's!",facebook,0,1
@timmetry Noes. It's Saturday. It'll be slow all day. ,nobrand,0,0
Need some coffee. Can't go to Starbucks until the shower is over. ,starbucks,0,1
"just woke up, ughhh it's too early. ",nobrand,0,0
"&quot;Sorry, an unexpected condition has occurred which is preventing Google Reader from fulfilling the request.&quot; ",google,0,1
Not really ready to go home ,nobrand,0,0
"Well, activated my Facebook account again... felt lonely ",facebook,0,1
watching the harry kalas tribute on phillies.com  miss you harry ,nobrand,0,0
Free E-waste event today in Eastlake at the Walmart. You all should come by until 3. And I see the irony in it being at Walmart ,walmart,0,1
Soooo Gutted .. Could Have Gone Barry Island Today  O Well 'Ox,nobrand,0,0
Last day at MV Apple  Thank god I dont gotta hang out with joesoliman anymore ,apple,0,1
Am trying to figure out how DD got 40 followers...  upset is not the word,nobrand,0,0
Google Profiles... This is weird. http://google.com/profiles/hbbear9 Shame I can't change it ,google,0,1
@NGowers u think u have got it bad! They start school at 745am here and I walk him to school 20mins away! Just the thought! ,nobrand,0,0
Last day at MV Apple  Thank god I dont gotta hang out with @joesoliman anymore ,apple,0,1
Im so sad i lost my ipod ,nobrand,0,0
i kinda want to put my bio up here but it wont let me  goin on facebook now,facebook,0,1
"Whole Foods and drop offs in the future.  Was going to go to Tommy's for lunch but because my Mother sucks, that isn't going to happen ",nobrand,0,0
My Sony Vaio showing a problem with its exhaust fan... Need to get serviced urgently... ,sony,0,1
@thevanillabear yeaah smth. goltv isnt showing RM til tmrw anyways  want to text me the end score tho?  &lt;3 have a good day xoxo,nobrand,0,0
Heading to walmart now..then back to study some more ,walmart,0,1
"@billpr53 Awww  LOL! True, true. But it's the thought that counts, so thanks!!",nobrand,0,0
"Space's last day, so last day working at Disney until who knows when   I can't believe this day has come",disney,0,1
@Loubella For it to be blocked? Got one of those already ,nobrand,0,0
I'm dressed as a PANDA Today!! I want this to be my new facebook picture  no camera... u_u,facebook,0,1
raining here too.  Wanted to plant my gardenia bushes - now have to clean the house instead ,nobrand,0,0
"Ok, so I still aint found my momma  wtf? Umm, MySpace and Facebook are so much easier.",facebook,0,1
@ashleymeltjonas yes spongebob! Like how unfair to me ,nobrand,0,0
At ASF studio! I'm hungry and I want to be at starbucks ,starbucks,0,1
it's Record Store day!!! too bad it's a dying breed these days... I miss Blue Dogs. ,nobrand,0,0
Up having my Brazilian Starbucks blend...Missouri is still too far away. ,starbucks,0,1
Having hot flushes......oh dear ,nobrand,0,0
@Lissetteeee im fixing up myspace &amp; facebook =] where is youu? ,facebook,0,1
Poor Myk got teh sick.  he's gonna be miserable on our vacation.,nobrand,0,0
"Just smsed sony darling..she was bit mood out tried to liven her up..couldnt do so..tried being silly,by sending some jokes,,dint work! ",sony,0,1
@Kristeen87 I wish boys were dead that's all.  wtf! Did you get the car to the shop though? That's crazy  hope everythings okay ,nobrand,0,0
"Have to wait two weeks for my cord  thankfully I had a great experience with Apple support. Thanks, ladies!",apple,0,1
The Sims ,nobrand,0,0
@burningsound  poor everyone so I'm guessing meeting up tonight isn't going to happen? maybe we could like do facebook chat or something?,facebook,0,1
"ShanSKYWALKER: @___missfayeeex  I still need to meet my tracey -sniffs- remember that hotmail hacking time? LOL so, ya, msn later?! &lt;3",nobrand,0,0
Just spilled my starbucks all over my desk at work. Dammit ,starbucks,0,1
Bunnies want to stay outside on the grass - I feel mean taking them inside for the night.  Silly Brandy bunny ,nobrand,0,0
Had some ask me to make their site rank 1st in google for the word printing... Where do people get their information? ,google,0,1
sickk&amp;grounded. Awesome weekend. ,nobrand,0,0
I hate hate hate Target on saturdays ,target,0,1
I hate when Photographs get Orange due to the lightening..  Lightening wasn't good at meet-up I must say !,nobrand,0,0
Why you should not publish Bidvertiser ads. http://is.gd/tbKa -- I need my Google Adsense back. ,google,0,1
i had video for 10 seconds... and then it failed  #asot400,nobrand,0,0
Survey says I should not have used the Facebook email contact feature ,facebook,0,1
pastor david blew the roof off the place this morning in the message!! pastor tom is headin home now  1229TIME!,nobrand,0,0
facebook feed Shirley Gilbert Back from Wembley and gutted  But on the plus side I did see Dermot.. http://tinyurl.com/c9ppjj,facebook,0,1
I'm glad I'm watching the Bats win and not the Yankees lose ,nobrand,0,0
@LeanneF You would think they would be worth something but Google says not ,google,0,1
@mrmiggidude haha  don't spoil the fight ok I'll remove your device updates!,nobrand,0,0
In the Apple store today Jack said &quot;Mommy I have to pee...Awwww too late!&quot;   Opps!,apple,0,1
@DionneSouth didn't see you anywhere today at the show  you hiding?,nobrand,0,0
on Facebook &amp; msn ... bored tho  xx,facebook,0,1
i wish there were more people that i know IRL on twitter....lame. ,nobrand,0,0
"I should send Apple an angry email along the lines of &quot;Hey d-bags, 'we fixed your computer' generally means you actually did something.&quot;. ",apple,0,1
Betsey Johnson is replacing my purse. I can't believe it broke. ,nobrand,0,0
The Kasabian single that is played on the Sony Bravia Zoetrope ad is not available until June. Probably not the best way to sell music. ,sony,0,1
"Nice and warm up at nd today, but cloudy  hope it says nice-ish tonight!",nobrand,0,0
i want starbucks ,starbucks,0,1
my view of thhe game.  http://twitpic.com/3jvw2,nobrand,0,0
"In line for Toy Story Mania at Disney before work.  Love this ride.  Hate having to work really late, though. ",disney,0,1
What a day.....running around....bro lost his game  and i'm @ work for d night.....,nobrand,0,0
"Jeje, Twitter didnï¿½t let you send your facebook profile as a link! ",facebook,0,1
@NeilMcDaid shizer!  ,nobrand,0,0
Totally bummed that target takes ova my life; i cant go see TGS tonight ,target,0,1
only my hair stylist toni wasnt there! and i was rele mad! cuz i got some shitty girl who ALWAYS messes up the taper! ,nobrand,0,0
"and can,t have the ice cream or the apple pie  been doing so good at the gym ",apple,0,1
I wish I stayed in Philadelphia to get @lilyroseallen 's tickets @ the art museum ,nobrand,0,0
The nice starbucks man ruined my chai frappe...really? It was on such a good streak too ,starbucks,0,1
Devin is feeling down and depressed today. don't like the feeling one bit ,nobrand,0,0
OMG DISNEY WORLD WAS SOOOOOOOO FUN!!!!!!!!!!!!!!!!!!!!!!!!!!!!! SO MANY STORIES!!!!!!! BUT I MISSED TWEETING ,disney,0,1
@Grace_coppinger So i hear your not calling her ASHAH! ,nobrand,0,0
Google AppEngine doesn't support JAXB or RESTEasy Client (no Sockets allowed).  No Service Bus on the Cloud ,google,0,1
hMmm thinking about a movie night. by myself? so boring ,nobrand,0,0
Facebook thinks I'm still in Texas. I'm getting e-mails about concert listings in Houston ,facebook,0,1
I was reading about food radiation in Scientific America. Made me think twice before eating those nice looking strawberries on the table ,nobrand,0,0
: starting tomorrow I vow to tweet less so alyssa will continue to follow my facebook updates mobilly. ,facebook,0,1
Where is my Blazer team? They did not show up at the Rose Garden tonight. ,nobrand,0,0
Just had to disable offline GMail - Google Gears was disrupting my direct-to-label-view shortcuts. ,google,0,1
"im lonely  keep me company! 22 female, Albany - New York",nobrand,0,0
Updated my twitter background and picture. Updating myspace next. Too bad Facebook does not let you customize and express your creativity ,facebook,0,1
@Jajawilk ya? well jump on a plane and go! i just cant w8 for the weather. ill be lonely til august! boo ,nobrand,0,0
"@xx_lil_jozy this is my 2nd day  do a google on it, I think we  might have a video on our site that explains it",google,0,1
just bought second SF4 shirt on Ebay. Didnt realize seller was in Ohio so I got hit with 1.08 sales tax. BOOOOO ,nobrand,0,0
@twenty_3 LOL you ignored my Friday facebook status ,facebook,0,1
"@pezz361356 Aaaah, sadly, not really no as there is a big chunk of it missing  What did you think of the final watch? x",nobrand,0,0
The Microsoft Office 2008 SP1 update is taking FOREVER to install on my Mac... and I can't abort it ,microsoft,0,1
"@laylakayleigh sorry to hear that, been there myself enough times, although its worse when they're in the same room with you, trust me ",nobrand,0,0
@podcastmama Google described the Optigan as an adult toy and I got excited until I learned that it's an organ ,google,0,1
I hope Cal Day &amp; Picnic Day @ Davis are not scheduled on the same day next year...that was bummer. I wanted to go to both ,nobrand,0,0
Went to starbucks with my mom then did surveilance at campagina I saw some hot ass guys in club shirts but my tummy is hurting again ,starbucks,0,1
WANT HER PHONE BACK NOW!!!! ,nobrand,0,0
"Back in The Vault, arrived 30mins early as forgot it was Sunday and there was no traffic. Have to wait till 10:30 for Starbucks to open. ",starbucks,0,1
That sucks ,nobrand,0,0
"@zackalltimelow because when you is in focus people appear for criticize you. i'm brazilian, sorry for my english via google  haha",google,0,1
@mittopotahis awwwww are you watching the webcast?? i wish i was there ,nobrand,0,0
I still love the movie &quot;Wish Upon a Star&quot; with Katherine Heigl... too bad Disney doesn't show it anymore. ,disney,0,1
Fourth Shamu in a raw to be away from maison ,nobrand,0,0
@ChristineVee you mean stuff??? she is eating apple sauce and spit ,apple,0,1
feel so sad that none of my friend are in twitters ,nobrand,0,0
@hoopyfrood  I was disturbed that all the Apple Developers teaching the program are 12 year olds  ...  frightening.,apple,0,1
@tarniecullen  Oohh tough.. ,nobrand,0,0
fuck one of our apple laptops went dead FUCK! graphics pics and files gone....  -Cesart,apple,0,1
The eagle has landed. By eagle I mean the sickness bug  I knew it would I suppose!,nobrand,0,0
Sacrificed facebook for finals. sooo i'm filling that void with twitter... ,facebook,0,1
I have the skitter today and cannot be arsed being at work ,nobrand,0,0
"I am completely lost. It's 2:30 am, I'm somewhere in l.a., and have no idea how to get to Placentia from here. Google maps isn't working ",google,0,1
Not feeling good. Must have caught something from somebody! ,nobrand,0,0
I think i might have eaten a bit too much of mum's apple pie stuff and had a bit too much cream ,apple,0,1
"@joshtastic1 just added you on the PlayStation, still can't find your levels yet ",nobrand,0,0
"Lame that iMovie '08 sucks so much that Apple had to offer '06 for free, and that they don't offer it anymore now that '09 is released ",apple,0,1
"Goodbye, everyone. Work ",nobrand,0,0
Twitter is evil. It has made me forget about Facebook and keeping in touch with good friends. Feel bad ,facebook,0,1
Babysitting  About To Go To Metro Centre,nobrand,0,0
Portable cd player decided to give up the ghost just days before our holiday  Frantic search on amazon last night for replacement ,amazon,0,1
@HisEnormity oh no we won't get 2meet him  maybe you'll find him when udo the gardening so you'll have to be careful with the lawn mower!,nobrand,0,0
Laughing at something on facebook !! Doing homework  School tomorrow !!,facebook,0,1
Wishing I didn't have to choose between sewing and showering ,nobrand,0,0
@tiffawahfoo spermy facesticle. i wish you were here. im sad. first night w out brian.  gay! i want starbucks and him. gr.,starbucks,0,1
"@gaiachik ouch, oh no,  ~ good luck!!",nobrand,0,0
There's a rumor a girl at my work did a centerfold in FHM. Google has not helped with my searches.  ? http://blip.fm/~4krhd,google,0,1
@JoelMadden you will lose followers with that kind of behaviour! completely ruined that film for me now ,nobrand,0,0
@ItsAnitaBitch Hahah aww!  i have to buy some new winter pjs soon.. i was looking at some today from Target ,target,0,1
@NinaMcFLY i know that feeling so well  life's so unfair! have you watched the &quot;down goes another one&quot; one? :'),nobrand,0,0
Google Reader is not working in Chrome again this morning! ,google,0,1
i'm getting my stuff ready for school tomorrow ,nobrand,0,0
@OneLuvGurl Youtube is getting messed up in a few days. Google is changing it around  They're going to ruin it ,google,0,1
I wanted to change my name to stalagmite but it was taken ,nobrand,0,0
@OneLuvGurl They are redesigning Youtube to cater to big industry moguls now. Stuff Like Disney and such. Jobbing out the small guy ,disney,0,1
i have too do a lot of school work now  *cry,nobrand,0,0
In a starbucks off times square. Going to find a diner for breakfast. Bad thing about the US is they put calorific content on all menus ,starbucks,0,1
can't believe how cold it was today! I need a hug please ,nobrand,0,0
"@tommcfly http://twitpic.com/3l9e5 -  we don't have starbucks here! i was there only last year whaen i was in london, and i invited a ...",starbucks,0,1
is bored silly and i think i hav a cold :-              is bored silly...and i think i hav a cold ,nobrand,0,0
owch my leg hurts cut it whalst shaving  want starbucks   nowcause of @tommcfly grrrr,starbucks,0,1
"Woohooo! I am stoked! Wheee. Though, I'm not looking forward to school ",nobrand,0,0
wait let me retract that lOlz cOokies wit sum apple juice playinq on the radiO lOlz uuuqqqhhh I'm makin movesz ,apple,0,1
back from football/soccer i need to crack on with some coursework ,nobrand,0,0
is at starbucks by himself ,starbucks,0,1
@noamcfly  no one else is answering me  i don't what to miss it ,nobrand,0,0
"is getting ready for church, deleting her facebook today ",facebook,0,1
is sat at the station on my mammoth journey back home care of bloody weekend engineering works grrr ,nobrand,0,0
@smock1999 Good morning. Sorry I never wrote you back. Facebook has been blocked at my work.  But I can still get on here. hehe,facebook,0,1
Going to bed. Sorry @thatoneguykyle... ,nobrand,0,0
is trying to work the Wireless on the laptop so I can enable cookies. It's annoying me. I can't get onto Facebook or THIS! ,facebook,0,1
I feel sickkkkk  Chemistry is killing me  I can't do it anymoreee ,nobrand,0,0
BAck to Walmart to get the pills that they didn't have ready when they said they did ,walmart,0,1
@astrawing It's true - I'm sorry ,nobrand,0,0
@WendyLHW how do i link it to facebook? will it send my facebook updates to this?  i'm super busy with school and planning summer reading ,facebook,0,1
@doggiejoy haha! i think facebook is too polluted with all the apps! ,facebook,0,1
I'm home! The child started screaming so there was no fun filled alcohol fuelled afternoon for the lala ,nobrand,0,0
"Hanging with my Mom on her birthday! Helping get thru Dad's stuff. Man, it's hard. I miss him so bad!! ",nobrand,0,0
"Actually, that's not totally fair, with a Windows license it's more like 2k. Wish Apple made a mid-range monitor-less system ",apple,0,1
My camerA got bumped in my bag and now I have no batteries. No pics and no video ,nobrand,0,0
Check stef's facebook she is bragging about and the others....so pissed off..makes me not wanna go back because of all this crap ,facebook,0,1
Telling people we dont sell outdoor solar lights...for the fourth time ,nobrand,0,0
Just read something on facebook that almost made me cryyyyyyyyyyy  Off out to get some food in the sun with the gay brother!!,facebook,0,1
"@pixelyzed oh, the pressure, the pressure! Cavallucci_hat is very lonely ",nobrand,0,0
anyone know where to buy a magnetic counter for my skein winder? google isn't being very helpful ,google,0,1
"Everyday i have to check gmail, hi5 , facebook, linkedin , meteociel, google reader, so much information ... so little time ",google,0,1
"Eating hot pockets and finally calling it a night, gotta be up in a few hours, lame  Dream of bunnies, dream of bunnies...",nobrand,0,0
Its a stunning day and i'm ill in bed.  Should be getting house clean for deliciously sexy visitor instead of lying here ,nobrand,0,0
Apple Juice just gave me heart burn ,apple,0,1
@kalore9 I'm so glad! I wish I could have made it to CT for the shower ,nobrand,0,0
@tommcfly you've made me want a starbucks frappuccino  that's just cruel,starbucks,0,1
@JerseyJoeyGirl lol i really wanna go to the today show but i don't think i can swing it ,nobrand,0,0
"I want to buy a load of .hack// anime, but Amazon don't have very many of the right region coding ",amazon,0,1
Hiding in my bathroom..the gruesome twosome have arrived ,nobrand,0,0
i dropped my apple on the floor  oh well.,apple,0,1
"@MartyBTV aww thanx !! Morning!! I couldn't even sleep in today  I have rehersal for a show I'm modeling in, and fittin wit a designer",nobrand,0,0
that quote makes me think about my miserable starbucks strategy project ,starbucks,0,1
@LoriGarlington don't know bout a pwdi today  too much homework,nobrand,0,0
"Corey just left  but it was a sweet weekend for sure! Giving a tour to the recruits, then its crunch time starbucks and studying all d ...",starbucks,0,1
was up most of the night with Nicholas. I hate it when my kids are sick. ,nobrand,0,0
watching halloween town on disney channel with brittany. haha. school tomorow.  not exactly my cup of tea! haha. sort of inside joke. xD..,disney,0,1
