tweet,brand,brand_name
"doing the usual with breakie in starbucks before heading out for the morning with cameras, but weather looking shite at this stage ",1,starbucks
@George_Mackie i dont sell very often on ebay. ,0,
I'm not worried about them cutting my hours down so i start at 10.00am every day...... Except i may have to give up my morning Starbucks ,1,starbucks
@mrjoe sorry to hear about the bike ,0,
I HATE WINDOWS MOVIE MAKER....  SONY VEGAS COME BACK!! I cant download it anymore. My brother banned me from downloading.. ? (,1,sony
i cant stop laughing @ this burger king commerical.....im so easily amused  ,0,
@davidkudrev It's just a pity that Facebook Chat has exceeded even MSN's amazingly level of unreliability! ,1,facebook
Pity I'll have to remove it because it's irrelevant. ,0,
@etnobofin even google translator does not get it ,1,google
"might have to go to hospital for my foot for an x-ray, have to wait for the doctor to call me back to confirm, I HATE HOSPITALS!!! ",0,
"@mercygrl oh wow, a little chubster.  You cant invite ppl to play uno on facebook at the moment ",1,facebook
"I want FFXII really bad, I never got a chance to play it. ",0,
Still stuck with the Microsoft specialist... Won't this day ever end! ,1,microsoft
Off to bed ... damn end of daylight savings - means my son will be awake at 5.30am ,0,
my interwebs is so fraked up that I can google maps something on my iPhone (3bar GPRS ..no 3G!) faster than my 10Mbps cable connection! ,1,google
"isn't feeling well, still don't get why people say they're pregnancy is the most beautifull time of they're life ",0,
Man I want some Nike Air Yeezy's but as i don't live in states have no chance in hell  Ahh well spend the $200 on 2 pairs of sb's instead!,1,nike
Frankfurt three times but I dont understand it ,0,
"@jonpaulkaiser I'm probably worse than you lol so sorry, these photos are seriously long overdue  last time I buy a Sony cam: rubbish!",1,sony
@Deemaah but I thought I did  Not my fault that you dont pay attention to my genitals!,0,
coffee @33 is turning into Starbucks (feral children-wise) ,1,starbucks
"@achmadsirman yeah i am, infact the spray paint is for the mutt, i got real delayed with some problems so not finished either yet ",0,
Another shoe throwing incident! journalist jarnail singh threw a shoe at Home minister chidambaram!! bt missed target ,1,target
Broke my tooth yesterday  it feels like it's spilt in half.,0,
dontcha just love microsoft corrupted open XML documents. ,1,microsoft
i have fucking shin splints!!!! im in pain.....DRUGS PLEASE......i never realised they could be so painful ,0,
"having a coffee and going through my twitter, facebook and other social networks ..... it seems to become a full time job to keep up ",1,facebook
gets to speak to my boyfriend til about 3! so happy! but then cant speak to him til may! that may hurt a little!! ,0,
"Wow.(non work related) I've been doing the SEO for a site I designed and it's now ranking 1-5 on MSN, Google and ASK - Sadly, not Yahoo ",1,google
"So many questions for the next Battlestations Podcast. We'll do our best, but we can't possibly answer them all. ",0,
i hate the new facebook look either! so messy and everything is all over the place! i want the old one back! ,1,facebook
"@nickynocky Yeah its rubbish, think my bill just gone up as well, and you have to filter the crap water ",0,
Another set of iPod earbuds dying - left going quiet  Apple charge GBP20 for replacements. Better options at around that price point?,1,apple
im having a miley nite!!!!!! no sleeping boo ,0,
@vickybeeching saw someone at the apple store told that their warranty was voided cuz they unlocked their phone. ,1,apple
"up, and throat still hurts ",0,
@johnnybeane me too... I'll see on Amazon uk.. otherwise they make me pay custom tax if I order it from the US ,1,amazon
NZ the place to be! Miss my own bed a bit though ,0,
@LPetersson pls pls PHOTOS!  Iï¿½m not gonna sign up to Facebook just to see photos.  Put them on Flickr or something! ,1,facebook
Good morning at work  don't wanna be there fuckit another day another dollar!!!,0,
@clarissa1017 why are you deleting your facebook account? ,1,facebook
"Have so much to do today: hand in coursework, pack and tidy (and this is the wost work) and then my shift at work from seven. Shattering ",0,
I just got denied ~sexual contact for a Disney movie with The Rock in it.  I am none too pleased with this.,1,disney
got my dog at the vet for heart surgery.  ,0,
"I woke up to find snow, had to scrape my car and its 30 degrees!!! I miss FL and my Disney family so bad ",1,disney
and here  http://twitpic.com/2yaxf,0,
@macknick Yes I do tweet back a lot but wonder why you don't respond. Did you delete your facebook account too? ,1,facebook
@chantelYO chantelllll. im gonna cry now. ,0,
shaking up some apple juice and watching the snow fall.  the ...snow ,1,apple
is watching the extras disk of &quot;Star Wreck&quot; - all the items but none of the menus ,0,
All Apple stores closed today  maybe inventory day??,1,apple
"[and as far as I'm concerned, I can't help but feel I'm going about everything wrong.  ]",0,
everything in facebook is down ,1,facebook
"Isabeau Ella-Marie Carpenter wntd mommy 2 call in sick, i miss her  http://apps.facebook.com/dogbook/profile/view/6215591",0,
"@attilacsordas  Im afraid not. I have a sony viao, thats officially  not mine, and a windows desktop ",1,sony
doesn't wanna do uni work today but has to ,0,
bummed that I forgot to go to Wal-Mart this morning at 5am on my way to work to get the new RF CD! UG! Guess I'll go on my way home ,1,walmart
House completly surprised me last night. I can't believe I cried watching an episode of House. So sad. ,0,
@jennielees - Your blogs RSS feed for Posts seems to be broken in Google Chrome ,1,google
trying to wake up while checking my email before going to work while the rest of the world (and my husband) is still in bed!! ,0,
@natalidelconte Didn't u tweet about Verizon FiOS problems before? Crap! I just signed up ,1,verizon
Its my birthday!!!  too bad I have to spend it without the hubby...,0,
I though groups of Google Apps were something like Google groups (groups.google.com) ,1,google
would have liked to have gotten more sleep last night! ,0,
"I love House, but certainly did not appreciate the MASSIVE spoiler that was posted on my facebook news feed by the show! ",1,facebook
"Long day of moving and painting with the fam, they even &quot;treated&quot; me to a huge McDonnalds dinner   people need to learn about health food",0,
@hollyrn76 I brought everything with me but left my ann pass at home.  Are we going to disney after ikea?,1,disney
is as work! ,0,
"facebook is being a 'tard -.-'' I can't get a hold of my cousin and don't want to go out alone, 'cause that's no fun ",1,facebook
My new phone isnt as spanky as i thought it was going to be  hmmph,0,
"@MooseMystique haven't seen it yet, we watch it on netflix once it come online. So well probably see it tomorrow. ",1,netflix
AAAAARGH! my ups SUCKS!!! my 6month old bookworm deluxe game got destroyed! and i was happily making a 9 letter 20k+ points word ,0,
@tommcfly aw i want a starbucks ,1,starbucks
What happened to April? This looks more like December ,0,
@steephill  Some of this just seems like Voodoo  with different platforms).  It just popped up and ran fine after the Nike ad on mine,1,nike
"Back at school.  But on the bright side, it's S2C podcast night tonight!",0,
Why won't my NYT US news RSS work in Google reader? ,1,google
@lil_dude_94 OH MY GOD ITS WELL SAD  sean's a beeeyyaaatch! xx,0,
Nahhhh no more mcdonalds kamilah... I see those lovehandle creeping back...omg look at those thighs.. ,1,mcdonalds
@danieldennis I hate it when people say Rocky 5 was horrible.   That's my favorite Rocky film. Just for the street fighting...,0,
@mandawahoo bummin that my local Starbucks has no more Doubleshots (cans). ,1,starbucks
"@dani_seaton sorry to burst the sunny bubble, but pouring in Westboro, probs moving its way to you ",0,
"Taking my Starbucks break, UGH so sleepy ",1,starbucks
emotionally not feeling good ,0,
"Sony Ericsson W715,  something seriously wrong with them. They decide when they want to send texts, most of the time they dont want to ",1,sony
@newslava welcome to the club ,0,
"intranet search results: looks like google , at first glance the relevance seems as bad as in almost every intranet ",1,google
@mannyenc i missed my first class too. well... i'm going to. LOL i have too much stuff to do.  i'm really scard about my grades for this,0,
Last day @ Disney ,1,disney
Swamped at work....  not a good day      But trying to keep positive... The weekend is not THAT far.,0,
@krm_bia oh Jesus I need some starbucks in my life right now. I was gonna be late to work if i picked it up ,1,starbucks
"wants an SA account, no credit card ",0,
" My head is hurting, my throat is sore, I can't hear the Day26 leak, the Day26 album on Amazon is fuc*ing expensive, I have homework :'(",1,amazon
Busy day today... ,0,
@CalEvans actually recently apple has been pretty shitty about needing to reboot after many updates ,1,apple
Twitter is not working very well for me... and Marc Faber over dinner is exahusting fare... ,0,
@eldiablito_72 It's not available here   I may have to look for a Google image....,1,google
Gah! The wait is killing me! ,0,
Doing facebook quizzes... man some of them are so stupid... i don't know y i'm even takin them ,1,facebook
Working...again ,0,
"i'm playing neopets, watching top model re-runs, and tweeting at @Mattynewport [ facebook is down for me  ]. ahhhh spring break &lt;3",1,facebook
really wants tijuana flats and no one will go with me ,0,
": Gosh, I'm fucking emo. I wrote on status on facebook 4 her, mum turned off Tom &amp; Jerry (which me and Ruby was enjoying) For The Hills. ",1,facebook
"Sick as an MF'in dog, hate my immune system ",0,
@Grayda mine just shows the Apple Logo when the computer boots the install disc. Its been like that for almost 2 hours now ,1,apple
@BenAtSite5 i haven't created a support ticket because its back up now..but it's zee.me my domain. It's up and down every couple of days ,0,
I think my upcoming trip might be my last trip to disney this year..the hubby wants to cancel our august magic kingdom view to save money ,1,disney
"@LadyLeamy But where you live consists of a project from hell.. scary.. Probably both days.. dunno, I have to plan by hours not days ",0,
facebook isnt working on my phone ,1,facebook
"@studio_gal Oh! And my friend, Carole Shelley, is IN &quot;Billy Elliot&quot;. She = sweet in RL. The play kept her from coming to the wedding. ",0,
@yazeez http://twitpic.com/2yiur - tell apple to make a pink one ,1,apple
not loving the new eminem ,0,
drinking pepsi as a substitute for the starbucks i couldn't pick up this morning before work... how wack is that?  im sad.,1,starbucks
gonna buy some books. tmrw is my bday and its snowing today. ,0,
forgot to sign out from my google account and my friend had his share of wickedness :O ,1,google
@OffTheHook77 You guys are gonna make me cry ,0,
@thomas_mathews  It doesn't matter. NO ONE DID IT.  Starbucks Grande Vanilla Latte was my BFF today.,1,starbucks
@derekma actually - i sold it years ago  maybe THAT&quot;s WHY!,0,
"Ads on twitter - y ruin a good thing   Google chief sings Twitter's praises, open to ad deal http://sbne.ws/r/1Lr",1,google
"im lonely  keep me company! 22 female, Amarillo - Texas",0,
just finished dexter season 2. Love this friggin show. Season 3 in netflix queue but doesn't look like the dvds are out yet ,1,netflix
"@PhillyD OMG you are starting to be my magazines, i haven't seen your vids for about a month  i'm too busy now!",0,
"@Kyabean Facebook is so mean.  It kept giving me sister fits when she tried to sign up. Hm, maybe I can DM you the URL?",1,facebook
sigh... CSK.. you're screwed ,0,
"Google thinks the Cafe is a spam blog.  They're recognised by &quot;irrelevant, repetitive, or nonsensical text&quot;.  That's told me ",1,google
"im lonely  keep me company! 22 female, Houston - Texas",0,
@jandrick In the UK you need an appointment to go to the apple store! ,1,apple
Moving day ,0,
"feeling better today, thank you Lord! Going to try and tackle Wal-Mart and the grocery store today. ",1,walmart
"So many new followers from #followfriday! Welcome everyone! usually I send a message to each, but was on deadline yesterday. ",0,
"I hate the Fung Wah bus.. worse, my ipod music library mysertiously deleted   Apple Sucks and Fung Wah sucks. Boston till tomorrow... #fb",1,apple
@BlueTeddy me too  so bummed I am not down there with all of you.  Hug everyone for me? And give Dan a big wet smooch from me!,0,
@andreatunes yeah but i can't drive to Apple right now soo Best Buy's my only hope. I think i've only seen the black and white there ,1,apple
Good morning! just helping otu to clean the house... ,0,
"@AndySambergSNL http://twitpic.com/3fp2c - no, i found tht pic on google images ",1,google
Waiting in the cold for a manager to come ,0,
"@flalalala HAHAHA according to him when he was in Ellen recently, he doesn't have a facebook or a twitter  Yes let's!",1,facebook
@timmetry Noes. It's Saturday. It'll be slow all day. ,0,
Need some coffee. Can't go to Starbucks until the shower is over. ,1,starbucks
"just woke up, ughhh it's too early. ",0,
"&quot;Sorry, an unexpected condition has occurred which is preventing Google Reader from fulfilling the request.&quot; ",1,google
Not really ready to go home ,0,
"Well, activated my Facebook account again... felt lonely ",1,facebook
watching the harry kalas tribute on phillies.com  miss you harry ,0,
Free E-waste event today in Eastlake at the Walmart. You all should come by until 3. And I see the irony in it being at Walmart ,1,walmart
Soooo Gutted .. Could Have Gone Barry Island Today  O Well 'Ox,0,
Last day at MV Apple  Thank god I dont gotta hang out with joesoliman anymore ,1,apple
Am trying to figure out how DD got 40 followers...  upset is not the word,0,
Google Profiles... This is weird. http://google.com/profiles/hbbear9 Shame I can't change it ,1,google
@NGowers u think u have got it bad! They start school at 745am here and I walk him to school 20mins away! Just the thought! ,0,
Last day at MV Apple  Thank god I dont gotta hang out with @joesoliman anymore ,1,apple
Im so sad i lost my ipod ,0,
i kinda want to put my bio up here but it wont let me  goin on facebook now,1,facebook
"Whole Foods and drop offs in the future.  Was going to go to Tommy's for lunch but because my Mother sucks, that isn't going to happen ",0,
My Sony Vaio showing a problem with its exhaust fan... Need to get serviced urgently... ,1,sony
@thevanillabear yeaah smth. goltv isnt showing RM til tmrw anyways  want to text me the end score tho?  &lt;3 have a good day xoxo,0,
Heading to walmart now..then back to study some more ,1,walmart
"@billpr53 Awww  LOL! True, true. But it's the thought that counts, so thanks!!",0,
"Space's last day, so last day working at Disney until who knows when   I can't believe this day has come",1,disney
@Loubella For it to be blocked? Got one of those already ,0,
I'm dressed as a PANDA Today!! I want this to be my new facebook picture  no camera... u_u,1,facebook
raining here too.  Wanted to plant my gardenia bushes - now have to clean the house instead ,0,
still sick...still without a pair of brown plaid/green nike blazers in a mens 6 ,1,nike
@Celineemily Hehe my turn to tidy...done the wardrobe now its the rest of my room! Nooo! Wish you were here to keep me company!  Luv yoo x,0,
"Ok, so I still aint found my momma  wtf? Umm, MySpace and Facebook are so much easier.",1,facebook
@ashleymeltjonas yes spongebob! Like how unfair to me ,0,
At ASF studio! I'm hungry and I want to be at starbucks ,1,starbucks
it's Record Store day!!! too bad it's a dying breed these days... I miss Blue Dogs. ,0,
Up having my Brazilian Starbucks blend...Missouri is still too far away. ,1,starbucks
Having hot flushes......oh dear ,0,
@Lissetteeee im fixing up myspace &amp; facebook =] where is youu? ,1,facebook
Poor Myk got teh sick.  he's gonna be miserable on our vacation.,0,
"Just smsed sony darling..she was bit mood out tried to liven her up..couldnt do so..tried being silly,by sending some jokes,,dint work! ",1,sony
@Kristeen87 I wish boys were dead that's all.  wtf! Did you get the car to the shop though? That's crazy  hope everythings okay ,0,
"Have to wait two weeks for my cord  thankfully I had a great experience with Apple support. Thanks, ladies!",1,apple
The Sims ,0,
@burningsound  poor everyone so I'm guessing meeting up tonight isn't going to happen? maybe we could like do facebook chat or something?,1,facebook
"ShanSKYWALKER: @___missfayeeex  I still need to meet my tracey -sniffs- remember that hotmail hacking time? LOL so, ya, msn later?! &lt;3",0,
Just spilled my starbucks all over my desk at work. Dammit ,1,starbucks
Bunnies want to stay outside on the grass - I feel mean taking them inside for the night.  Silly Brandy bunny ,0,
Had some ask me to make their site rank 1st in google for the word printing... Where do people get their information? ,1,google
sickk&amp;grounded. Awesome weekend. ,0,
Stopped at the McDonalds Eastland for lunch then back on the road for another 3 hours ,1,mcdonalds
i want a grill... ,0,
I hate hate hate Target on saturdays ,1,target
I hate when Photographs get Orange due to the lightening..  Lightening wasn't good at meet-up I must say !,0,
Why you should not publish Bidvertiser ads. http://is.gd/tbKa -- I need my Google Adsense back. ,1,google
i had video for 10 seconds... and then it failed  #asot400,0,
Survey says I should not have used the Facebook email contact feature ,1,facebook
pastor david blew the roof off the place this morning in the message!! pastor tom is headin home now  1229TIME!,0,
facebook feed Shirley Gilbert Back from Wembley and gutted  But on the plus side I did see Dermot.. http://tinyurl.com/c9ppjj,1,facebook
I'm glad I'm watching the Bats win and not the Yankees lose ,0,
@LeanneF You would think they would be worth something but Google says not ,1,google
@mrmiggidude haha  don't spoil the fight ok I'll remove your device updates!,0,
to resist mcdonalds fries is PAINFUL!! ,1,mcdonalds
wishes stephenie meyer wud reply to my message! ,0,
In the Apple store today Jack said &quot;Mommy I have to pee...Awwww too late!&quot;   Opps!,1,apple
@DionneSouth didn't see you anywhere today at the show  you hiding?,0,
on Facebook &amp; msn ... bored tho  xx,1,facebook
i wish there were more people that i know IRL on twitter....lame. ,0,
"I should send Apple an angry email along the lines of &quot;Hey d-bags, 'we fixed your computer' generally means you actually did something.&quot;. ",1,apple
Betsey Johnson is replacing my purse. I can't believe it broke. ,0,
The Kasabian single that is played on the Sony Bravia Zoetrope ad is not available until June. Probably not the best way to sell music. ,1,sony
"Nice and warm up at nd today, but cloudy  hope it says nice-ish tonight!",0,
i want starbucks ,1,starbucks
my view of thhe game.  http://twitpic.com/3jvw2,0,
"In line for Toy Story Mania at Disney before work.  Love this ride.  Hate having to work really late, though. ",1,disney
What a day.....running around....bro lost his game  and i'm @ work for d night.....,0,
"Jeje, Twitter didnï¿½t let you send your facebook profile as a link! ",1,facebook
@NeilMcDaid shizer!  ,0,
Totally bummed that target takes ova my life; i cant go see TGS tonight ,1,target
only my hair stylist toni wasnt there! and i was rele mad! cuz i got some shitty girl who ALWAYS messes up the taper! ,0,
netflix signup system is down  guess I'll have to wait till tomorrow,1,netflix
"leaving 30 minutes later than anticipated, because I couldn't find my collar  Taking the crop though, this'll be a fun bus ride.",0,
"and can,t have the ice cream or the apple pie  been doing so good at the gym ",1,apple
I wish I stayed in Philadelphia to get @lilyroseallen 's tickets @ the art museum ,0,
The nice starbucks man ruined my chai frappe...really? It was on such a good streak too ,1,starbucks
Devin is feeling down and depressed today. don't like the feeling one bit ,0,
OMG DISNEY WORLD WAS SOOOOOOOO FUN!!!!!!!!!!!!!!!!!!!!!!!!!!!!! SO MANY STORIES!!!!!!! BUT I MISSED TWEETING ,1,disney
@Grace_coppinger So i hear your not calling her ASHAH! ,0,
Google AppEngine doesn't support JAXB or RESTEasy Client (no Sockets allowed).  No Service Bus on the Cloud ,1,google
hMmm thinking about a movie night. by myself? so boring ,0,
Facebook thinks I'm still in Texas. I'm getting e-mails about concert listings in Houston ,1,facebook
I was reading about food radiation in Scientific America. Made me think twice before eating those nice looking strawberries on the table ,0,
Is never going to eat McDonalds again! They have ruined the humble junior burger with pepper  and now it tastes like crap,1,mcdonalds
"Bah, one of my strawberry Pop-Tarts had a split-open wrapper in the box, so they ended up becoming stale   Poor Pop-Tarts . . .",0,
: starting tomorrow I vow to tweet less so alyssa will continue to follow my facebook updates mobilly. ,1,facebook
Where is my Blazer team? They did not show up at the Rose Garden tonight. ,0,
Just had to disable offline GMail - Google Gears was disrupting my direct-to-label-view shortcuts. ,1,google
"im lonely  keep me company! 22 female, Albany - New York",0,
Updated my twitter background and picture. Updating myspace next. Too bad Facebook does not let you customize and express your creativity ,1,facebook
@Jajawilk ya? well jump on a plane and go! i just cant w8 for the weather. ill be lonely til august! boo ,0,
"@xx_lil_jozy this is my 2nd day  do a google on it, I think we  might have a video on our site that explains it",1,google
just bought second SF4 shirt on Ebay. Didnt realize seller was in Ohio so I got hit with 1.08 sales tax. BOOOOO ,0,
@twenty_3 LOL you ignored my Friday facebook status ,1,facebook
"@pezz361356 Aaaah, sadly, not really no as there is a big chunk of it missing  What did you think of the final watch? x",0,
The Microsoft Office 2008 SP1 update is taking FOREVER to install on my Mac... and I can't abort it ,1,microsoft
"@laylakayleigh sorry to hear that, been there myself enough times, although its worse when they're in the same room with you, trust me ",0,
@podcastmama Google described the Optigan as an adult toy and I got excited until I learned that it's an organ ,1,google
I hope Cal Day &amp; Picnic Day @ Davis are not scheduled on the same day next year...that was bummer. I wanted to go to both ,0,
Went to starbucks with my mom then did surveilance at campagina I saw some hot ass guys in club shirts but my tummy is hurting again ,1,starbucks
WANT HER PHONE BACK NOW!!!! ,0,
"Back in The Vault, arrived 30mins early as forgot it was Sunday and there was no traffic. Have to wait till 10:30 for Starbucks to open. ",1,starbucks
That sucks ,0,
"@zackalltimelow because when you is in focus people appear for criticize you. i'm brazilian, sorry for my english via google  haha",1,google
@mittopotahis awwwww are you watching the webcast?? i wish i was there ,0,
I still love the movie &quot;Wish Upon a Star&quot; with Katherine Heigl... too bad Disney doesn't show it anymore. ,1,disney
Fourth Shamu in a raw to be away from maison ,0,
@ChristineVee you mean stuff??? she is eating apple sauce and spit ,1,apple
feel so sad that none of my friend are in twitters ,0,
@hoopyfrood  I was disturbed that all the Apple Developers teaching the program are 12 year olds  ...  frightening.,1,apple
@tarniecullen  Oohh tough.. ,0,
has had just no luck whatsoever with the McDonalds monopoly stickers this week ,1,mcdonalds
man in monmouth coffee in c.garden so rude i walked out without coffee.  now i have no coffee ,0,
fuck one of our apple laptops went dead FUCK! graphics pics and files gone....  -Cesart,1,apple
The eagle has landed. By eagle I mean the sickness bug  I knew it would I suppose!,0,
Sacrificed facebook for finals. sooo i'm filling that void with twitter... ,1,facebook
I have the skitter today and cannot be arsed being at work ,0,
"I am completely lost. It's 2:30 am, I'm somewhere in l.a., and have no idea how to get to Placentia from here. Google maps isn't working ",1,google
Not feeling good. Must have caught something from somebody! ,0,
I think i might have eaten a bit too much of mum's apple pie stuff and had a bit too much cream ,1,apple
"@joshtastic1 just added you on the PlayStation, still can't find your levels yet ",0,
"Lame that iMovie '08 sucks so much that Apple had to offer '06 for free, and that they don't offer it anymore now that '09 is released ",1,apple
"Goodbye, everyone. Work ",0,
Twitter is evil. It has made me forget about Facebook and keeping in touch with good friends. Feel bad ,1,facebook
Babysitting  About To Go To Metro Centre,0,
Portable cd player decided to give up the ghost just days before our holiday  Frantic search on amazon last night for replacement ,1,amazon
@HisEnormity oh no we won't get 2meet him  maybe you'll find him when udo the gardening so you'll have to be careful with the lawn mower!,0,
Laughing at something on facebook !! Doing homework  School tomorrow !!,1,facebook
Wishing I didn't have to choose between sewing and showering ,0,
@tiffawahfoo spermy facesticle. i wish you were here. im sad. first night w out brian.  gay! i want starbucks and him. gr.,1,starbucks
"@gaiachik ouch, oh no,  ~ good luck!!",0,
There's a rumor a girl at my work did a centerfold in FHM. Google has not helped with my searches.  ? http://blip.fm/~4krhd,1,google
@JoelMadden you will lose followers with that kind of behaviour! completely ruined that film for me now ,0,
@ItsAnitaBitch Hahah aww!  i have to buy some new winter pjs soon.. i was looking at some today from Target ,1,target
@NinaMcFLY i know that feeling so well  life's so unfair! have you watched the &quot;down goes another one&quot; one? :'),0,
Google Reader is not working in Chrome again this morning! ,1,google
i'm getting my stuff ready for school tomorrow ,0,
@OneLuvGurl Youtube is getting messed up in a few days. Google is changing it around  They're going to ruin it ,1,google
I wanted to change my name to stalagmite but it was taken ,0,
@OneLuvGurl They are redesigning Youtube to cater to big industry moguls now. Stuff Like Disney and such. Jobbing out the small guy ,1,disney
i have too do a lot of school work now  *cry,0,
In a starbucks off times square. Going to find a diner for breakfast. Bad thing about the US is they put calorific content on all menus ,1,starbucks
can't believe how cold it was today! I need a hug please ,0,
"@tommcfly http://twitpic.com/3l9e5 -  we don't have starbucks here! i was there only last year whaen i was in london, and i invited a ...",1,starbucks
is bored silly and i think i hav a cold :-              is bored silly...and i think i hav a cold ,0,
owch my leg hurts cut it whalst shaving  want starbucks   nowcause of @tommcfly grrrr,1,starbucks
"Woohooo! I am stoked! Wheee. Though, I'm not looking forward to school ",0,
wait let me retract that lOlz cOokies wit sum apple juice playinq on the radiO lOlz uuuqqqhhh I'm makin movesz ,1,apple
back from football/soccer i need to crack on with some coursework ,0,
is at starbucks by himself ,1,starbucks
@noamcfly  no one else is answering me  i don't what to miss it ,0,
"So, no Verizon DSL at home for whatever reason. Just that stupid flashing light on the modem. ",1,verizon
Has a sore throat! ,0,
"is getting ready for church, deleting her facebook today ",1,facebook
is sat at the station on my mammoth journey back home care of bloody weekend engineering works grrr ,0,
anyone want to help me pick some movies for Netflix movie night? http://tinyurl.com/cdghqp make me happy ,1,netflix
" great, now i'm left out? Some best friends.",0,
@smock1999 Good morning. Sorry I never wrote you back. Facebook has been blocked at my work.  But I can still get on here. hehe,1,facebook
Going to bed. Sorry @thatoneguykyle... ,0,
anyone want to help me pick some movies for Netflix movie night? http://tinyurl.com/cdghqp make me happy ,1,netflix
lost my hairbrush. ,0,
is trying to work the Wireless on the laptop so I can enable cookies. It's annoying me. I can't get onto Facebook or THIS! ,1,facebook
I feel sickkkkk  Chemistry is killing me  I can't do it anymoreee ,0,
BAck to Walmart to get the pills that they didn't have ready when they said they did ,1,walmart
@astrawing It's true - I'm sorry ,0,
@WendyLHW how do i link it to facebook? will it send my facebook updates to this?  i'm super busy with school and planning summer reading ,1,facebook
@doggiejoy haha! i think facebook is too polluted with all the apps! ,1,facebook
I'm home! The child started screaming so there was no fun filled alcohol fuelled afternoon for the lala ,0,
"Hanging with my Mom on her birthday! Helping get thru Dad's stuff. Man, it's hard. I miss him so bad!! ",0,
"Actually, that's not totally fair, with a Windows license it's more like 2k. Wish Apple made a mid-range monitor-less system ",1,apple
My camerA got bumped in my bag and now I have no batteries. No pics and no video ,0,
Check stef's facebook she is bragging about and the others....so pissed off..makes me not wanna go back because of all this crap ,1,facebook
Telling people we dont sell outdoor solar lights...for the fourth time ,0,
Just read something on facebook that almost made me cryyyyyyyyyyy  Off out to get some food in the sun with the gay brother!!,1,facebook
"@pixelyzed oh, the pressure, the pressure! Cavallucci_hat is very lonely ",0,
anyone know where to buy a magnetic counter for my skein winder? google isn't being very helpful ,1,google
"Everyday i have to check gmail, hi5 , facebook, linkedin , meteociel, google reader, so much information ... so little time ",1,google
"Eating hot pockets and finally calling it a night, gotta be up in a few hours, lame  Dream of bunnies, dream of bunnies...",0,
Its a stunning day and i'm ill in bed.  Should be getting house clean for deliciously sexy visitor instead of lying here ,0,
Apple Juice just gave me heart burn ,1,apple
@kalore9 I'm so glad! I wish I could have made it to CT for the shower ,0,
@tommcfly you've made me want a starbucks frappuccino  that's just cruel,1,starbucks
@JerseyJoeyGirl lol i really wanna go to the today show but i don't think i can swing it ,0,
"I want to buy a load of .hack// anime, but Amazon don't have very many of the right region coding ",1,amazon
Hiding in my bathroom..the gruesome twosome have arrived ,0,
ok I cant get  a bold or the new curve on verizon  --Verizon needs new options cus the storm suck!-- ( but I may get it),1,verizon
Wonder why I cannot fetch RSS feeds from the web to my locahost wordpress test page.. ,0,
@aanaravs cool! Wish we had Netflix here too ,1,netflix
Doing courseworkkkkkk  ,0,
i dropped my apple on the floor  oh well.,1,apple
"@MartyBTV aww thanx !! Morning!! I couldn't even sleep in today  I have rehersal for a show I'm modeling in, and fittin wit a designer",0,
that quote makes me think about my miserable starbucks strategy project ,1,starbucks
@LoriGarlington don't know bout a pwdi today  too much homework,0,
